"ProductName","Provenance","StorageType","Entity","Attribute","DataType","LinkedTo","Property"
"LITE","lite-api","RDBMS-Postgres-Django","cases_casereferencecode","reference_number","int4--integer","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","goods_query_goodsquery","pv_grading_raised_reasons","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","letter_templates_lettertemplate","visible_to_exporter","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","site","id","text--text","site","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","control_list_entry","id","varchar--character varying","applications_goodonapplication_control_list_entries","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","generated_documents_generatedcasedocument","casedocument_ptr_id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","control_list_entry","id","text--text","good_control_list_entries","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","teams_team","id","varchar--character varying","advice","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","sla_days","int2--smallint","NONE","CHECK"
"LITE","lite-api","RDBMS-Postgres-Django","control_list_entry","id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case_queues","case_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","applications_goodonapplication","is_precedent","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","organisation","name","text--text","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","applications_countryonapplication","application_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","site","is_used_on_application","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","goods_type","id","varchar--character varying","cases_goodcountrydecision","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","search_comment","created_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","compliance_compliancevisitcase","compliance_overview","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","parties_party","details","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","report_summaries_reportsummaryprefix","id","uuid--uuid","applications_goodonapplication","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","organisation","id","varchar--character varying","goods_gooddocument","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","licences_goodonlicence","created_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_partyonapplication_flags","flag_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","goods_type","is_precedent","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","organisations_externallocation","name","text--text","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","users_baseuser","id","int4--integer","routing_rules_routinghistory","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","id","uuid--uuid","goods_type","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","picklists_picklistitem","id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_siteonapplication","site_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","documents_document","id","varchar--character varying","applications_goodonapplicationdocument","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","category","_varchar--ARRAY","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","users_govuser","baseuser_ptr_id","uuid--uuid","search_comment","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","date_of_deactivation","date--date","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","end_user_advisories_enduseradvisoryquery","note","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_applicationdocument","description","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","routing_rules_routingrule","id","int4--integer","routing_rules_routingrule_case_types","FOREIGN KEY"
